Type,SKU,Name,Published,Short description,Description,In stock?,Stock,Weight (kg),Length (cm),Width (cm),Height (cm),Regular price,Categories,Tags,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
simple,MEP10-B24,"MEP 10 — Massa MEP Nivelamento",1,,"<p>Argamassa polimérica pronta para uso para a primeira fiada (fiada de respaldo). Composição polimerizável: sustenta o peso do bloco sem escorrer após o posicionamento. Blindagem hidrófoba com Silano-Siloxano integrado. Atende às normas da ABNT 16590.</p><ul><li>Zero betoneira — pronto para uso</li><li>Composição polimerizável: gel que não deforma após posicionamento</li><li>Silano-Siloxano: impermeabilização capilar integrada</li><li>3× mais rápido que o traço convencional</li><li>Embalagem: balde com 4 bisnagas de 6 kg = 24 kg total</li></ul>",1,50,24,30,30,30,210.00,MEP Massas,"mep massas, primeira fiada, argamassa polimerica, mep 10, nivelamento",,,,,,
simple,MEP20-B24,"MEP 20 — Massa MEP Assentamento",1,,"<p>Argamassa polimérica pronta para uso para assentamento de blocos e tijolos. 4× mais rápida que a argamassa convencional, sem betoneira. Junta de 3 a 5 mm. Atende às normas da ABNT 16590.</p><ul><li>Zero betoneira — pronta para uso</li><li>Junta de 3 a 5 mm (vs 10–15 mm convencional)</li><li>1,6 kg por m² de alvenaria</li><li>Compatível com bloco cerâmico e bloco de concreto</li></ul>",1,100,24,30,30,30,216.00,MEP Massas,"mep massas, argamassa polimerica, assentamento, bloco, tijolo, mep 20",,,,,,
simple,MEP30-B24,"MEP 30 — Massa MEP Encunhamento",0,,"<p>Argamassa polimérica para encunhamento — amortecedor polimérico de flexibilidade controlada aplicado no topo da parede, entre a última fiada e a viga ou laje superior. Absorve deflexões naturais da estrutura. Aplicar somente após 72 horas da elevação da parede. Atende às normas da ABNT 16590.</p><ul><li>Zero betoneira — pronto para uso</li><li>Folga de aplicação: 1,5 a 3 cm entre a parede e a laje</li><li>Preenchimento homogêneo e contínuo, sem vazios</li><li>Embalagem: balde com 8 sacos de 3 kg = 24 kg total</li></ul>",1,50,24,30,30,30,,MEP Massas,"mep massas, encunhamento, argamassa polimerica, mep 30",,,,,,
simple,MEP40-B30,"MEP 40 — Massa MEP Reboco Fino",1,,"<p>Argamassa polimérica para reboco fino tecnológico — sistema em 3 demãos (5 mm totais) que substitui chapisco, emboço e massa corrida, entregando acabamento branco pronto para pintura. Aplicação com desempenadeira. Atende às normas da ABNT 16590.</p><ul><li>Espessura total: 5 mm em 3 demãos</li><li>Elimina chapisco, emboço e massa corrida</li><li>Aplicação com desempenadeira de aço e de esponja/feltro</li><li>Acabamento branco pronto para pintura</li></ul>",1,80,30,30,30,30,130.00,MEP Massas,"mep massas, reboco fino, argamassa polimerica, mep 40",,,,,,
simple,MEP-SACO-3KG,"Saco MEP — Argamassa Polimérica 3 kg",1,,"<p>Argamassa polimérica em embalagem prática de 3 kg. Ideal para reparos e pequenas obras. Mesma formulação dos baldes profissionais. Atende às normas da ABNT 16590.</p><ul><li>Embalagem prática para transporte e armazenamento</li><li>Mesma formulação do balde profissional</li><li>Pronto para uso, sem adição de água</li></ul>",1,200,3,14,14,6,36.00,MEP Massas,"mep massas, argamassa polimerica, saco 3kg, reparo",,,,,,
simple,MEP-TEXTURA-25KG,"Textura Projetada MEP — 25 kg",1,,"<p>Revestimento texturizado acrílico base água para fachadas, muros e paredes. Disponível em granulometria fina, média e grossa. Alta resistência a intempéries e UV. Sistema tintométrico disponível para cores personalizadas.</p><ul><li>Granulometria fina: 1,5 a 2,5 kg/m²</li><li>Granulometria média: 2,5 a 3,5 kg/m²</li><li>Granulometria grossa: 3,5 a 5,0 kg/m²</li><li>Alta resistência a UV e intempéries</li></ul>",1,30,25,30,30,30,165.00,MEP Massas,"textura projetada, revestimento texturizado, fachada, muro, mep massas",,,,,,
variable,tinta-premium-mep-color,"Tinta Acrílica Premium MEP COLOR",1,,"<p>Tinta acrílica premium para interiores e exteriores. Alta cobertura, lavável, resistente a UV. Acabamento fosco. Sistema tintométrico disponível para cores personalizadas.</p><ul><li>Interior e exterior</li><li>Rendimento: até 8,3 m²/L por demão</li><li>Lavável — resistente à limpeza</li><li>Alta resistência a UV e intempéries</li><li>Sistema tintométrico disponível</li></ul>",1,,,,,,,MEP COLOR,"tinta premium, tinta acrilica, mep color, tinta exterior, tinta interior",,,Volume,"3,6L | 18L",1,0
variation,MEP-PREMIUM-3L6,,1,,,1,50,4.5,19,19,19,125.00,,,,tinta-premium-mep-color,Volume,"3,6L",,
variation,MEP-PREMIUM-18L,,1,,,1,20,23,30,30,34,528.00,,,,tinta-premium-mep-color,Volume,18L,,
variable,tinta-economica-mep-color,"Tinta Acrílica Econômica MEP COLOR",1,,"<p>Tinta acrílica econômica para grandes superfícies internas e alvenaria. Boa cobertura, fácil aplicação e custo-benefício ideal para obras e reformas. Acabamento fosco.</p><ul><li>Indicada para interiores e alvenaria</li><li>Rendimento: até 4,7 m²/L por demão</li><li>Fácil aplicação com rolo ou broxa</li><li>Custo-benefício para grandes metragens</li></ul>",1,,,,,,,MEP COLOR,"tinta economica, tinta acrilica, mep color, tinta obra, tinta reforma",,,Volume,"3,6L | 18L",1,0
